"PlotNumber","SubPlot","TreeNum","TreeSpp","DBH","DBHClass","Site_Index_SiteTools18_v2","NewAge","TotalHtCalc","HeightClass","CountAge","CountHT","TotalAge","TreeHealth","TreeOrigin","Conks","BlindConks","Scars","ForkOrCrook","FrostCrack","Mistletoe","RottenBranch","DeadOrBrokenTop","DamageType","DamageSeverity","CrownClass","Ht2LiveCrown","Appearance","CrownCondition","BarkRetention","WoodCondition","LichenLoading","MossLoading","WildLifeUse","TreeNotes","LiveDead","CuVolume","SPH","BasalArea","SiteIndexID","SiteIndex","flag","ProjectID","PlotID","AgeBH","TreeSiteIndex","MensurationID","Zone","SubZone","SiteSeries","SiteIndex_Location","PSPL_SiteIndexValue","Site_Index_Original","Site_Index_SiteTools18_v1","Site_Index_SiteTools19","StemAnalysis","SIBECplot","FlagtoFix_2019","Fixed_2019","Correction_2019","Comment_2019","DONOTUSE_2019","Flag_NoLocation","MAP_LABEL_v11","BEC_v11_AGREE","Field2","Field1","MoistureRegime","NutrientRegime"
"SBC3439","1",1,"Sx",65.50,,20.02,"99",30.80,,99,1.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,123,15263,99,20.02,19599,"SBS","mc2","06","Interior",18.89,"20.02",20.02,21.30,0,1,0,0,,,0,0,"SBSmc2",1,0,0,"4","d"
"SBC3441","1",1,"Sx",29.50,,23.27,"59",26.10,,59,1.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,123,15265,59,23.27,19601,"SBS","mc2","09a","Interior",19.60,"23.27",23.27,25.74,0,1,0,0,,,0,0,"SBSdk",0,0,0,"6","d"
"SBC3443","1",1,"Bl",22.90,,18.64,"60",21.30,,60,1.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,123,15267,60,18.64,19603,"SBS","mc2","01","Interior",17.29,"18.64",18.64,21.07,0,1,0,0,,,0,0,"SBSdk",0,0,0,"4","c"
"SBC3444","1",1,"Bl",28.70,,18.04,"64",21.60,,64,1.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,123,15268,64,18.04,19604,"SBS","mc2","01","Interior",17.39,"18.04",18.04,20.33,0,1,0,0,,,0,0,"SBSdk",0,0,0,"4","c"
"SBC3445","1",1,"Bl",20.50,,18.07,"43",16.00,,43,1.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,123,15269,43,18.07,19605,"SBS","mc2","01","Interior",15.80,"18.07",18.07,21.36,0,1,0,0,,,0,0,"SBSmc2",1,0,0,"4","c"
"SBC3446","1",1,"Bl",22.50,,14.84,"53",15.60,,53,1.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,123,15270,53,14.84,19606,"SBS","mc2","01","Interior",16.20,"14.84",14.84,17.94,0,1,0,0,,,0,0,"SBSmc2",1,0,0,"4","c"
"SBC3449","1",1,"Sx",34.20,,14.21,"106",25.20,,106,1.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,123,15273,106,14.21,19607,"SBS","mc2","10","Interior",18.70,"14.21",14.21,15.54,0,1,0,0,,,0,0,"SBSdk",0,0,0,"6","d"
"SBC3451","1",1,"Bl",12.00,,22.61,"13",7.00,,13,1.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,123,15275,13,22.61,19608,"SBS","mc2","05","Interior",17.00,"22.61",22.61,31.99,0,1,0,0,,,0,0,"SBSdk",0,0,0,"4","d"
"SBC3458","1",1,"Pl",21.70,,19.67,"55",20.70,,55,1.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,123,15282,55,19.67,19610,"SBS","mc2","05","Interior",20.10,"19.67",19.67,20.73,0,1,0,0,,,0,0,"SBSdk",0,0,0,"4","d"
"SBC3458","1",1,"Sx",27.30,,20.75,"52",21.40,,52,1.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,123,15282,52,20.75,19609,"SBS","mc2","05","Interior",18.70,"20.75",20.75,20.73,0,1,0,0,,,0,0,"SBSdk",0,0,0,"4","d"
"SBC3460","1",1,"Bl",29.60,,15.23,"105",25.20,,105,1.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,123,15284,105,15.23,19612,"SBS","mc2","05","Interior",16.00,"15.23",15.23,16.57,0,1,0,0,,,0,0,"SBSmc2",1,0,0,"4","d"
"SBC3460","1",1,"Pl",34.30,,17.01,"121",24.70,,121,1.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,123,15284,121,17.01,19611,"SBS","mc2","05","Interior",18.50,"17.01",17.01,16.57,0,1,0,0,,,0,0,"SBSmc2",1,0,0,"4","d"
"SBC3474","1",1,"Bl",23.10,,14.94,"75",20.40,,75,1.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,123,15298,75,14.94,19619,"SBS","mc2","01","Interior",18.20,"14.94",14.94,17.03,0,1,0,0,,,0,0,"SBSmc2",1,0,0,"3","c"
"SBC4341","1",1,"Bl",14.40,,20.11,"27",12.20,,27,1.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,131,16720,27,20.11,21142,"SBS","mc2","01","Interior",16.39,"20.11",20.11,24.61,0,1,0,0,,,0,0,"SBSmc2",1,0,0,"3","C"
"SBC4514","1",1,"Bl",6.00,,15.40,"12",4.10,,12,1.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,139,16841,12,15.40,21405,"SBS","mc2","07","Interior",15.39,"15.4",15.40,25.01,0,1,0,0,,,0,0,"SBSmc2",1,0,0,"6","B"
"SBC4514","1",1,"Pl",10.90,,18.01,"14",6.70,,14,1.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,139,16841,14,,21403,"SBS","mc2","07","Interior",17.89,,18.01,25.01,0,1,0,0,,,0,0,"SBSmc2",1,0,0,"6","B"
"SBC4514","1",1,"Sx",6.40,,15.83,"17",5.20,,17,1.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,139,16841,17,,21404,"SBS","mc2","07","Interior",18.79,,15.83,25.01,0,1,0,0,,,0,0,"SBSmc2",1,0,0,"6","B"
"SBC4797","1",1,"Bl",17.10,,12.56,"56",13.90,,56,1.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,150,17312,56,12.56,21948,"SBS","mc2","10","Interior",19.00,"12.56",12.56,15.61,0,1,0,0,,,0,0,"SBSmc2",1,0,0,"6","C"
"SBC4798","1",1,"Bl",6.50,,11.35,"18",4.13,,18,1.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,150,17313,18,11.35,21949,"SBS","mc2","10","Interior",15.39,"11.35",11.35,19.06,0,1,0,0,,,0,0,"SBSmc2",1,0,0,"6","C"
"SBC4799","1",1,"Bl",27.10,,16.68,"96",25.70,,96,1.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,150,17314,96,16.68,21950,"SBS","mc2","10","Interior",15.39,"16.68",16.68,18.10,0,1,0,0,,,0,0,"SBSmc2",1,0,0,"7","D"
"SBC4800","1",1,"Bl",23.20,,13.26,"73",18.10,,73,1.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,150,17315,73,13.26,21951,"SBS","mc2","10","Interior",19.00,"13.26",13.26,15.52,0,1,0,0,,,0,0,"SBSmc2",1,0,0,"6","C"
"SBC4963","1",1,"Bl",33.50,,18.97,"61",21.90,,61,1.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,152,17527,61,18.97,22234,"SBS","mc2","10a","Interior",19.10,"18.97",18.97,21.33,0,1,0,0,,,0,0,"SBSmc2",1,0,0,"6","D"
"SBC4964","1",1,"Pl",29.40,,21.05,"65",23.90,,65,1.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,152,17528,65,21.05,22235,"SBS","mc2","10","Interior",19.89,"21.05",21.05,21.89,0,1,0,0,,,0,0,"SBSmc2",1,0,0,"6","D"
"SBC4965","1",1,"Pl",26.70,,18.01,"106",24.90,,106,1.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,152,17529,106,18.01,22236,"SBS","mc2","10","Interior",17.89,"18.01",18.01,18.38,0,1,0,0,,,0,0,"SBSmc2",1,0,0,"7","D"
"SBC4969","1",1,"Pl",32.40,,16.11,"96",22.00,,96,1.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,152,17533,96,16.11,22241,"SBS","mc2","10","Interior",19.89,"16.11",16.11,16.59,0,1,0,0,,,0,0,"SBSmc2",1,0,0,"6","D"
