Unit,SImin,SImean,SImax,MeanPlotSiteIndex,Spp
CWHmm2/05,20.7,21.82,22.67,24,Cw
CWHmm2/05,24.16,26.11,27.36,28,Hw
CWHmm2/05,26.16,26.97,27.73,28,Fd
CWHmm2/06,13.9,15.09,15.97,NA,Bl
CWHmm2/06,15.24,16.64,17.92,NA,Sx
CWHmm2/06,15.4,18.4,20.67,NA,Py
CWHmm2/06,15.76,17.14,18.5,NA,Pl
CWHmm2/06,18.48,18.77,19.18,NA,Lw
CWHmm2/06,21.37,21.61,21.9,20,Cw
CWHmm2/06,23.15,24.36,25.11,24,Hw
CWHmm2/06,25.13,25.92,26.56,NA,Fd
CWHmm2/07,12.16,15.72,19.13,NA,Lw
CWHmm2/07,12.66,14.36,15.58,NA,Bl
CWHmm2/07,14.52,15.66,16.74,NA,Sx
CWHmm2/07,14.89,16.3,17.75,NA,Pl
CWHmm2/07,18.62,19.77,20.82,16,Cw
CWHmm2/07,20.36,21.76,22.66,NA,Hw
CWHmm2/07,21.57,26.54,30.4,NA,Py
CWHmm2/07,24.57,25.33,25.94,NA,Fd
CWHmm2/08,15.57,16.11,16.86,NA,Bl
CWHmm2/08,17.29,18.08,18.87,NA,Sx
CWHmm2/08,18.28,18.64,19.06,NA,Pl
CWHmm2/08,19.83,21.33,23.37,NA,Lw
CWHmm2/08,20.83,25.81,30.9,NA,Py
CWHmm2/08,22.21,22.98,23.67,24,Cw
CWHmm2/08,24.14,25.54,26.9,24,Hw
CWHmm2/08,26.95,27.34,27.75,28,Fd
CWHmm2/09,1.16,6.18,11.21,NA,Lw
CWHmm2/09,10.71,12.21,13.72,NA,Bl
CWHmm2/09,10.76,12.31,13.86,NA,Cw
CWHmm2/09,12.19,12.79,13.4,16,Pl
CWHmm2/09,12.81,13.18,13.54,NA,Sx
CWHmm2/09,16.66,17.48,18.29,NA,Hw
CWHmm2/09,23.86,24.34,24.82,NA,Fd
CWHmm2/09,41.49,46.12,50.75,NA,Py
CWHmm2/10,14.35,14.83,15.27,NA,Sx
CWHmm2/10,14.44,14.6,14.76,NA,Bl
CWHmm2/10,15.07,15.65,16.01,NA,Pl
CWHmm2/10,16.03,17.73,18.71,16,Cw
CWHmm2/10,18.57,19.56,20.16,20,Hw
CWHmm2/10,19.56,25.26,30.24,NA,Lw
CWHmm2/10,25.28,26.02,26.48,NA,Fd
CWHmm2/10,55.23,55.89,56.4,NA,Py
CWHms1/01,13.75,14.61,15.58,NA,Bl
CWHms1/01,14.57,16.33,18.02,NA,Sx
CWHms1/01,15.69,16.86,18.25,NA,Pl
CWHms1/01,15.99,18.3,19.58,NA,Py
CWHms1/01,17.65,19.36,21.07,20,Hw
CWHms1/01,17.81,19.35,20.73,20,Cw
CWHms1/01,18.93,19.7,20.86,NA,Lw
CWHms1/01,23.41,24.92,26.34,24,Fd
CWHms1/02,11.53,12.09,13.02,NA,Cw
CWHms1/02,12.73,13.18,13.47,NA,Sx
CWHms1/02,13.08,14.42,15.51,NA,Lw
CWHms1/02,13.32,14.08,15.27,NA,Hw
CWHms1/02,14.05,14.13,14.26,NA,Bl
CWHms1/02,14.16,14.24,14.37,12,Pl
CWHms1/02,17.68,17.85,17.95,NA,Py
CWHms1/02,17.96,18.34,18.71,12,Fd
