"Unit","Spp","SIPred","MeanPlotSiteIndex"
"BWBSmk/102","Sx",11.9410595783601,9
"BWBSmk/102","Sx",11.9410595783601,9
"BWBSmk/102","Yc",16.1613574325601,NA
"BWBSmw/101","At",17.1521430155616,18
"BWBSmw/101","Ba",17.1849146257392,NA
"BWBSmw/101","Bl",16.0780263064768,NA
"BWBSmw/101","Cw",16.2420780310709,NA
"BWBSmw/101","Fd",20.3701602651463,NA
"BWBSmw/101","Hm",14.8596396126933,NA
"BWBSmw/101","Hw",17.0987713774389,NA
"BWBSmw/101","Lw",21.8658033276449,NA
"BWBSmw/101","Pl",18.6327344485015,18
"BWBSmw/101","Pw",22.2895118161822,NA
"BWBSmw/101","Py",18.4010164594911,NA
"BWBSmw/101","Sb",9.98402600495004,NA
"BWBSmw/101","Ss",25.2583783966454,NA
"BWBSmw/101","Sx",18.8812710061173,21
"BWBSmw/101","Yc",20.856279782364,NA
"BWBSmw/102","At",13.6438280556697,12
"BWBSmw/102","Ba",16.0008886468048,NA
"BWBSmw/102","Bl",12.7791141059132,NA
"BWBSmw/102","Cw",11.2383884384059,NA
"BWBSmw/102","Fd",16.1552006229383,NA
"BWBSmw/102","Hm",12.5007574099665,NA
"BWBSmw/102","Hw",11.9515729531397,NA
"BWBSmw/102","Lw",18.8616966216555,NA
"BWBSmw/102","Pl",14.0420277931459,12
"BWBSmw/102","Pw",21.2809044717919,NA
"BWBSmw/102","Py",16.316055531896,NA
"BWBSmw/102","Sb",10.5583435106817,NA
"BWBSmw/102","Ss",22.9838848295585,NA
"BWBSmw/102","Sx",11.8850963459786,9
"BWBSmw/102","Yc",15.9377398530726,NA
"BWBSwk1/101","At",15.8545788218184,15
"BWBSwk1/101","Ba",15.9824828021167,NA
"BWBSwk1/101","Bl",15.3152806886062,NA
"BWBSwk1/101","Cw",14.906047901603,NA
"BWBSwk1/101","Fd",19.3487095626195,NA
"BWBSwk1/101","Hm",13.4732970942714,NA
"BWBSwk1/101","Hw",16.9078877363418,NA
"BWBSwk1/101","Lw",21.8832204783222,NA
"BWBSwk1/101","Pl",15.6740765907964,15
"BWBSwk1/101","Pw",23.1791128560727,NA
"BWBSwk1/101","Py",18.8070832309034,NA
"BWBSwk1/101","Sb",10.5717267740856,NA
"BWBSwk1/101","Ss",22.7239576489088,NA
"BWBSwk1/101","Sx",15.2569962511539,15
"BWBSwk1/101","Yc",20.1006433758515,NA
"BWBSwk1/102","At",14.3380291606673,NA
"BWBSwk1/102","Ba",13.1931950374539,NA
"BWBSwk1/102","Bl",12.6146370392925,NA
"BWBSwk1/102","Cw",13.0471963608792,NA
"BWBSwk1/102","Fd",14.8850453757121,NA
"BWBSwk1/102","Hm",11.4517014487334,NA
"BWBSwk1/102","Hw",12.2384013466093,NA
"BWBSwk1/102","Lw",19.5169306128097,NA
"BWBSwk1/102","Pl",13.2272398314942,12
"BWBSwk1/102","Pw",22.1580561296188,NA
"BWBSwk1/102","Py",18.0276264613259,NA
"BWBSwk1/102","Sb",10.9640347986961,NA
"BWBSwk1/102","Ss",21.5886561209964,NA
"BWBSwk1/102","Sx",10.701152838032,9
