ID1,ID2,lat,long,el
08-7029,421,51.04,-122.47,1442
08-7030,422,51.05,-122.48,1397
08-7031,423,49.95,-121.17,1476
08-7032,424,50.37,-122.2,1619
08-7047,425,53.98,-127.47,1023
08-7048,426,53.98,-127.47,1018
08-7051,427,54.24,-126.35,1364
08-7052,428,49.96,-121.18,1515
08-7053,429,55.47,-122.12,1161
08-7054,430,55.47,-122.12,1259
08-7055,431,55.47,-122.1,1300
08-7056,432,53.64,-124.33,1267
08-7057,433,53.64,-124.33,1265
08-7058,434,55.51,-121.91,1273
08-7059,435,55.51,-121.91,1253
08-7060,436,54.84,-127.7,961
08-7061,437,54.84,-127.71,940
08-7062,438,54.83,-127.71,1016
08-7064,439,54.84,-127.71,956
08-7065,440,54.63,-127.39,1272
08-7066,441,52.88,-119.25,1524
08-7067,442,52.88,-119.25,1516
08-7068,443,53.27,-120.24,1521
08-7069,444,53.33,-120.13,1630
08-7070,445,53.33,-120.12,1689
08-7075,446,56.19,-122.48,1307
08-7078,447,51.06,-118.26,1491
08-7080,448,51.59,-118.52,1791
08-7085,449,54.27,-126.42,1293
08-7086,450,56.18,-122.48,1308
08-7095,451,51.11,-116.94,1532
08-7097,452,53.1,-121.48,1329
08-7098,453,53.1,-121.48,1327
08-7099,454,53.1,-121.48,1295
08-7438,455,51.09,-116.9,1320
08-7459,456,51.1,-116.95,1339
08-7461,457,51,-118.27,1357
08-7470,458,51.09,-116.9,1326
08-7473,459,55.04,-124.37,1259
08-7476,460,49.96,-121.17,1479
08-7483,461,51.06,-118.26,1498
08-7491,462,55.04,-124.36,1263
102.1su,463,49.04,-117.88,1276
102.2su,464,49.04,-117.88,1276
104.1su,465,49.28,-117.82,1383
105.1su,466,49.28,-117.82,1228
107.1su,467,49.26,-117.91,1337
108.1su,468,49.43,-117.75,1060
108.2su,469,49.43,-117.75,1060
109.1su,470,49.42,-117.74,1010
109.2su,471,49.42,-117.74,1010
109.3su,472,49.42,-117.74,1010
112.1su,473,49.37,-117.74,1500
116.1su,474,49.75,-118.22,1116
116.2su,475,49.75,-118.22,1116
117.1su,476,49.92,-118.23,934
124.1su,477,49.72,-118.32,1152
127.1su,478,50,-118.34,1291
138.1su,479,49.71,-117.15,1482
142.1su,480,49.42,-117.26,1513
1618-1,482,49.56,-119.93,1521
1618-2,483,49.56,-119.92,1439
1618-3,484,49.55,-119.92,1505
1618-4,485,49.56,-119.92,1411
1618-5,486,49.58,-119.95,1435
