SS_NoSpace,TreeSpp,MeanPlotSiteIndex
CWHmm2/05,Yc,24
CWHmm2/06,Ba,24
CWHmm2/06,Cw,20
CWHmm2/06,Hw,24
CWHmm2/06,Yc,20
CWHmm2/07,Cw,16
CWHmm2/07,Yc,16
CWHmm2/08,Ba,28
CWHmm2/08,Cw,24
CWHmm2/08,Fd,28
CWHmm2/08,Hw,24
CWHmm2/08,Yc,24
CWHds2/04,Pl,24
CWHmm2/09,Yc,12
CWHmm2/10,Cw,16
CWHmm2/10,Hw,20
CWHmm2/10,Yc,16
CWHms1/01,Ba,16
CWHms1/01,Cw,20
CWHms1/01,Fd,24
CWHms1/01,Hw,20
CWHms1/02,Fd,12
CWHds2/11,Pl,16
CWHms1/03,Fd,16
CWHms1/04,Ba,16
CWHms1/04,Cw,20
CWHms1/04,Fd,28
CWHms1/04,Hw,24
CWHms1/04,Yc,20
CWHms1/05,Ba,20
CWHms1/05,Cw,20
CWHms1/05,Hw,24
CWHms1/05,Yc,20
CWHms1/06,Ba,24
CWHms1/06,Bg,28
CWHms1/06,Cw,24
CWHms1/06,Fd,28
CWHms1/06,Yc,24
CWHms1/07,Ba,24
CWHms1/07,Cw,24
CWHms1/08,Ba,20
CWHms1/08,Cw,20
CWHms1/10,Cw,12
CWHms1/11,Cw,20
CWHms1/11,Yc,20
CWHms2/01,Cw,20
CWHms2/01,Fd,24
CWHms2/01,Hw,20
CWHms2/02,Fd,12
CWHmm1/02,Pl,20
CWHms2/03,Cw,16
CWHms2/03,Fd,16
CWHmm1/11,Pl,16
CWHms2/04,Ba,16
CWHms2/04,Cw,20
CWHms2/04,Fd,28
CWHms2/04,Hw,20
CWHms2/04,Ss,24
CWHms2/05,Ba,20
CWHms2/05,Cw,16
CWHms2/05,Hw,24
CWHms2/06,Ba,28
CWHms2/06,Cw,24
CWHms2/06,Fd,28
CWHms2/06,Ss,28
CWHms2/07,Ba,28
CWHms2/07,Cw,24
CWHms2/07,Ss,28
CWHms2/08,Ba,20
CWHms2/08,Cw,20
CWHms2/10,Cw,12
CWHmm2/02,Pl,16
CWHms2/11,Cw,20
CWHms2/11,Hw,20
CWHms2/11,Ss,20
CWHvh1/01,Ba,12
CWHvh1/01,Cw,16
CWHvh1/01,Hw,16
CWHvh1/01,Ss,20
CWHvh1/02,Cw,8
CWHmm2/09,Pl,16
CWHvh1/02,Yc,8
CWHvh1/03,Cw,12
CWHvh1/03,Hw,12
CWHms1/02,Pl,12
CWHvh1/04,Ba,24
CWHvh1/04,Cw,20
CWHvh1/04,Hw,24
CWHvh1/04,Ss,24
CWHvh1/05,Ba,28
CWHvh1/05,Cw,24
CWHvh1/05,Hw,28
CWHvh1/05,Ss,28
CWHvh1/06,Ba,24
CWHvh1/06,Cw,24
CWHvh1/06,Hw,24
CWHvh1/06,Ss,32
CWHvh1/07,Ba,28
CWHvh1/07,Cw,24
CWHvh1/07,Hw,28
CWHvh1/07,Ss,32
CWHvh1/08,Ba,28
CWHvh1/08,Cw,24
CWHvh1/08,Hw,28
CWHvh1/08,Ss,28
CWHvh1/09,Ba,24
CWHvh1/09,Cw,16
CWHvh1/09,Hw,20
CWHvh1/09,Ss,24
CWHvh1/11,Cw,12
CWHvh1/11,Hw,16
CWHvh1/11,Yc,8
CWHvh1/12,Cw,8
CWHvh1/12,Yc,8
CWHvh1/13,Cw,16
CWHvh1/13,Hw,16
CWHvh1/13,Ss,20
CWHvh1/14,Cw,8
CWHvh1/14,Hw,12
CWHms1/10,Pl,12
CWHvh1/14,Ss,12
CWHvh1/15,Cw,16
CWHvh1/15,Hw,20
CWHvh1/15,Ss,24
CWHvh1/16,Cw,12
CWHvh1/16,Hw,20
CWHvh1/16,Ss,24
CWHvh1/17,Cw,12
CWHvh1/17,Hw,20
CWHvh1/17,Ss,28
CWHvh1/18,Cw,8
CWHvh1/18,Ss,12
CWHvh2/01,Ba,16
CWHvh2/01,Cw,19.7328573
CWHvh2/01,Hw,20
CWHms2/02,Pl,12
CWHms2/03,Pl,16
CWHvh2/01,Ss,16
CWHvh2/01,Ss,20
CWHvh2/01,Yc,16
CWHvh2/03,Cw,16
CWHvh2/03,Hw,16
CWHms2/10,Pl,12
CWHvh1/01,Pl,16
CWHvh2/04,Ba,27.34090898
CWHvh2/04,Cw,22.84099989
CWHvh2/04,Hw,26.95000023
CWHvh2/04,Ss,31.55558147
CWHvh2/05,Ba,24
CWHvh2/05,Cw,24
CWHvh2/05,Hw,24
CWHvh2/05,Ss,28
CWHvh2/06,Ba,31.00133349
CWHvh2/06,Cw,24.16000042
CWHvh2/06,Hw,28.19277753
CWHvh2/06,Ss,32.87074033
CWHvh2/07,Ba,28
CWHvh2/07,Ba,24
CWHvh2/07,Cw,22.04666636
CWHvh2/07,Hw,24.69555548
CWHvh2/07,Ss,30.44944424
CWHvh2/08,Ba,28
CWHvh2/08,Ba,24
CWHvh2/08,Cw,24
CWHvh2/08,Hw,24
CWHvh2/08,Ss,32
CWHvh2/09,Hw,28
CWHvh2/09,Ss,32
CWHvh2/11,Cw,12
CWHvh2/11,Hw,16
CWHvh1/02,Pl,12
CWHvh2/11,Yc,12
CWHvh2/11,Yc,8
CWHvh2/12,Cw,8
CWHvh1/03,Pl,12
CWHvh2/12,Yc,8
CWHvh2/13,Cw,16
CWHvh2/13,Hw,16
CWHvh2/13,Ss,20
CWHvh2/13,Yc,16
CWHvh2/14,Cw,12
CWHvh2/14,Hw,12
CWHvh2/14,Ss,16
CWHvh2/15,Cw,16
CWHvh2/15,Hw,16
CWHvh2/15,Ss,24
CWHvh2/16,Cw,12
CWHvh2/16,Hw,12
CWHvh2/16,Ss,16
CWHvh2/17,Cw,24
CWHvh2/17,Hw,24
CWHvh2/17,Ss,32
CWHvh2/18,Cw,16
CWHvh2/18,Ss,20
CWHvh3/101a,Cw,20
CWHvh3/101a,Hw,20
CWHvh1/12,Pl,8
CWHvh3/101a,Ss,16
CWHvh3/101a,Yc,16
CWHvh3/101b,Cw,16
CWHvh3/101b,Hw,16
CWHvh3/101b,Yc,16
CWHvh3/101c,Cw,16
CWHvh3/101c,Hw,16
CWHvh1/14,Pl,12
CWHvh3/101c,Yc,16
CWHvh3/103,Cw,12
CWHvh3/103,Hw,12
CWHvh3/103,Ss,16
CWHvh3/104,Cw,16
CWHvh3/104,Hw,16
