SS_NoSpace,TreeSpp,MeanPlotSiteIndex
SBSdk/05,Sx,18.05384629
MSdk/01,Bl,18.05624986
MSdm1/04,Pl,18.06999999
MSdm1/04,Pl,18.06999999
ESSFdk/04,Pl,18.07666667
SBPSdc/06,Sx,18.08333344
SBSmk1/04,At,18.10571439
ICHmk1/04,Bl,18.1114284
ICHmk1/04,Bl,18.1114284
ESSFdc2/06,Se,18.13444434
SBSmk1/05,Bl,18.13571467
SBPSxc/06,Sx,18.14428547
IDFdk2/01,Pl,18.1468418
SBSmh/04,Fd,18.16000012
SBSmh/04,Fd,18.16000012
MSdk/04,Pl,18.18552948
SBSmh/01,Ep,18.21857139
SBSmh/01,Ep,18.21857139
SBSdw3/06,At,18.23999991
MSdk/03,Fd,18.25328595
SBPSmc/01,Sx,18.25428568
ESSFwc1/01,Se,18.27421053
ESSFwc1/01,Se,18.27421053
ESSFwk1/03,Se,18.29571397
ESSFwk1/03,Se,18.29571397
IDFdk1/01,Pl,18.33
SBSmc3/04,Pl,18.33714281
IDFdm1/01,Fd,18.34181838
IDFdm1/01,Fd,18.34181838
SBSdw3/01,Ep,18.34249985
SBPSdc/05,Pl,18.35249972
SBSwk1/03,Sx,18.3671424
SBSwk1/03,Sx,18.3671424
MSxv/06,Sx,18.37599993
SBPSdc/01,Sx,18.40571458
MSdk/04,Bl,18.41428566
SBSwk3/04,Bl,18.41571426
SBSwk3/04,Bl,18.41571426
SBSdw2/04,Fd,18.43571431
SBSdw2/04,Fd,18.43571431
IDFdk2/01,Fd,18.47161278
IDFxm/08,Sx,18.47571441
SBSmw/05,Pl,18.5
SBSmw/05,Pl,18.51444456
SBSmw/05,Pl,18.51444456
ICHmc1/03,Bl,18.5224998
MSdm1/01,Bl,18.56117636
MSdm1/01,Bl,18.56117636
SBSwk1/02,Pl,18.58285713
SBSwk1/02,Pl,18.58285713
ESSFwv/06,Se,18.61142812
SBPSmc/01,Pl,18.65714291
IDFmw1/04,Pl,18.65857165
SBSmc2/10,Pl,18.6829411
SBSmc2/10,Pl,18.6829411
SBSmc3/07,Sx,18.71571405
ICHmc2/03,Hw,18.72499979
ICHmc2/03,Cw,18.77428559
MSdk1/01,Lw,18.78714303
SBSdw1/04,Bl,18.80142893
SBSwk3/03,Fd,18.80285699
SBSwk3/03,Fd,18.80285699
SBSdw3/01,Sx,18.81722228
SBSdw3/04,Fd,18.82000005
SBSmc2/01,Sx,18.82604006
SBSmc2/01,Sx,18.82604006
SBSmc2/01,Sx,18.82604006
MSdm1/07,Pl,18.84142876
MSdm1/07,Pl,18.84142876
SBSwk3/03,Sx,18.84375012
ICHmk3/05,Bl,18.8485715
SBSmw/04,Sx,18.85142885
SBSmw/04,Sx,18.85142885
MSdk/04,Fd,18.86084
SBSmc2/10,Sx,18.86735305
SBSmc2/10,Sx,18.86735305
SBSdw2/08,Sx,18.86857142
SBSdw2/08,Sx,18.86857142
ESSFmc/06,Se,18.86999977
SBSmk1/09,Sx,18.887143
SBSvk/05,Sx,18.89714282
MSdm2/01,Fd,18.89875019
SBSmw/04,Sx,18.9
ESSFwk2/01,Bl,18.93777763
SBSwk1/04,Sx,18.94285692
SBSwk1/04,Sx,18.94285692
SBSwk3/04,Sx,18.95571409
SBSwk3/04,Sx,18.95571409
IDFdk2/04,Fd,18.95999972
SBSmc2/04,Sx,18.97571414
SBSmc2/04,Sx,18.97571414
SBSmc2/09,Bl,18.99153834
SBSmc2/09,Bl,18.99153834
ICHmc1/01,Bl,18.99315799
ICHwk1/01,Cw,19.00229998
ICHwk1/01,Cw,19.00229998
ICHwk1/01,Cw,19.00229998
ESSFmc/06,Pl,19.02666664
ICHmc2/01,Bl,19.0386666
SBSdk/05,Pl,19.05076915
SBSdk/05,Pl,19.05076915
SBSmc2/06,Bl,19.0717645
SBSmc2/06,Bl,19.0717645
SBSmc2/06,Bl,19.0717645
SBSmk1/01,Sx,19.10135012
SBSmc2/05,Pl,19.1168846
SBSmc2/05,Pl,19.1168846
IDFdk4/10,Sx,19.11714281
SBSdw3/06,Sx,19.12111123
ICHmw2/01,Hw,19.13399992
ICHmw2/01,Hw,19.13399992
SBSmk1/01,At,19.14399999
SBSdw2/06,Fd,19.14571408
SBSdw2/06,Fd,19.14571408
SBSwk3/06,Pl,19.14899998
SBSwk3/06,Pl,19.14899998
IDFdk2/04,Pl,19.15250003
IDFmw1/04,Fd,19.1528571
SBSdw2/01,Sx,19.15299969
SBSdw2/01,Sx,19.15299969
IDFdk3/01,Sx,19.15375006
SBSdw3/05,Pl,19.17375016
ICHvc/01,Hw,19.19375014
SBSmk1/08,Bl,19.23000022
SBPSmk/04,Sx,19.23428576
MSdm2/05,Bl,19.27222231
IDFdm2/01,Fd,19.30978598
MSdm2/01,Pl,19.31269228
SBSmc3/07,Pl,19.31285722
SBSmc2/06,Sx,19.33296163
SBSmc2/06,Sx,19.33296163
SBSmc2/06,Sx,19.33296163
CWHws1/11,Cw,19.33571434
ESSFwc1/01,Bl,19.34388865
ESSFwc1/01,Bl,19.34388865
SBPSmk/04,Pl,19.34875035
CWHvm1/14,Cw,19.36384605
CWHvm1/14,Cw,19.36384605
ESSFwk2/05,Bl,19.39888912
ICHmw2/02,Hw,19.43071461
ICHmw2/03,Hw,19.43071461
ICHmw3/01,Hw,19.43444422
ICHmw3/01,Hw,19.43444422
MSdm1/06,Sx,19.43666649
MSdm1/06,Sx,19.43666649
ICHmw2/01,Bl,19.44249988
ICHmw2/01,Bl,19.44249988
MSdm2/04,Fd,19.44666693
SBSdw3/01,At,19.48333319
SBSdk/01,Pl,19.49037536
