"PlotNumber","SubPlot","MeasurementID","TreeNum","TreeSpp","DBH","DBHClass","TotalHtCalc","HeightClass","CountAge","CountHT","TotalAge","AgeNote","TreeHealth","TreeOrigin","Conks","BlindConks","Scars","ForkOrCrook","FrostCrack","Mistletoe","RottenBranch","DeadOrBrokenTop","DamageType","DamageSeverity","CrownClass","Ht2LiveCrown","Appearance","CrownCondition","BarkRetention","WoodCondition","LichenLoading","MossLoading","WildLifeUse","TreeNotes","LiveDead","CuVolume","SPH","BasalArea","SiteIndexID","SiteIndex"
"PSP9721","1",0,2,"Cw",42.50000,45.00000,25.10000,,100,1.300000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"PSP9721","1",0,3,"Bl",31.70000,30.00000,28.30000,,76,1.300000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"PSP9721","1",0,4,"Se",33.30000,30.00000,27.40000,,64,1.300000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"M203","1",0,1,"Bl",34.90000,30.00000,29.80000,,109,1.300000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"M101","1",0,1,"Sx",25.50000,30.00000,15.70000,,42,1.300000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"M101","1",0,2,"Fd",21.00000,15.00000,13.40000,,31,1.300000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"M202","1",0,1,"Ba",23.90000,30.00000,17.10000,,49,1.300000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"M202","1",0,2,"Bl",34.60000,30.00000,19.20000,,50,1.300000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"M202","1",0,3,"Se",33.20000,30.00000,22.30000,,57,1.300000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"M204","1",0,1,"Fd",46.60000,45.00000,30.40000,,117,1.300000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"M205","1",0,1,"Fd",26.20000,30.00000,11.60000,,30,1.300000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"M205","1",0,2,"Bl",24.80000,30.00000,11.40000,,40,1.300000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"M206","1",0,2,"Pl",22.00000,15.00000,13.20000,,28,1.300000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
